experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,repeat_index,phase,timestep,agent_id,was_ever_active,active_count,visible_hyperedge_ids,dominant_hyperedge_id,visible_negative_pressure,latent_neg_tendency,final_choice,credible_choice,share_choice,comment_choice,nsb,cb,sb,eb_probe,probe_mode,reason
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_048,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5272,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_049,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4356,positive,positive,none,neutral,0.0,0.0,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_050,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4939,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_051,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4682,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_052,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4436,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_053,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5035,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_054,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4675,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_055,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4689,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_056,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4455,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_057,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5386,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
